agno, mes, dia, valor
1972,07,19,1171.00000
1972,07,20,1239.00000
1972,07,21,1342.00000
1972,07,22,1175.00000
1972,07,23,1081.00000
1972,07,24,1041.00000
1972,07,25,990.00000
1972,07,26,968.00000
1972,07,27,1084.00000
1972,07,28,1563.00000
1972,07,29,2358.00000
1972,07,30,2092.00000
1972,07,31,2245.00000
1972,08,01,3826.00000
1972,08,02,4805.00000
1972,08,03,3425.00000
1972,08,04,2596.00000
1972,08,05,2226.00000
1972,08,06,1982.00000
1972,08,07,1822.00000
1972,08,08,1860.00000
1972,08,09,1879.00000
1972,08,10,2464.00000
1972,08,11,2856.00000
1972,08,12,3523.00000
1972,08,13,4181.00000
1972,08,14,6153.00000
1972,08,15,6986.00000
1972,08,16,5719.00000
1972,08,17,4345.00000
1972,08,18,3333.00000
1972,08,19,2753.00000
1972,08,20,2393.00000
1972,08,21,2296.00000
1972,08,22,2428.00000
1972,08,23,2696.00000
1972,08,24,3214.00000
1972,08,25,2904.00000
1972,08,26,2381.00000
1972,08,27,2109.00000
1972,08,28,1995.00000
1972,08,29,1953.00000
1972,08,30,1848.00000
1972,08,31,1691.00000
1972,09,01,1586.00000
1972,09,02,1507.00000
1972,09,03,1446.00000
1972,09,04,1452.00000
1972,09,05,1557.00000
1972,09,06,1459.00000
1972,09,07,1385.00000
1972,09,08,1372.00000
1972,09,09,1335.00000
1972,09,10,1306.00000
1972,09,11,1587.00000
1972,09,12,2641.00000
1972,09,13,2069.00000
1972,09,14,1843.00000
1972,09,15,1807.00000
1972,09,16,1677.00000
1972,09,17,1618.00000
1972,09,18,1940.00000
1972,09,19,2695.00000
1972,09,20,2516.00000
1972,09,21,2085.00000
1972,09,22,1884.00000
1972,09,23,1773.00000
1972,09,24,1694.00000
1972,09,25,1610.00000
1972,09,26,1533.00000
1972,09,27,1463.00000
1972,09,28,1425.00000
1972,09,29,1369.00000
1972,09,30,1364.00000
1972,10,01,1590.00000
1972,10,02,1685.00000
1972,10,03,1505.00000
1972,10,04,1430.00000
1972,10,05,1357.00000
1972,10,06,1282.00000
1972,10,07,1240.00000
1972,10,08,1200.00000
1972,10,09,1203.00000
1972,10,10,1194.00000
1972,10,11,1202.00000
1972,10,12,1398.00000
1972,10,13,2062.00000
1972,10,14,2151.00000
1972,10,15,1798.00000
1972,10,16,1615.00000
1972,10,17,1496.00000
1972,10,18,1483.00000
1972,10,19,1621.00000
1972,10,20,2136.00000
1972,10,21,2015.00000
1972,10,22,1758.00000
1972,10,23,1614.00000
1972,10,24,1538.00000
1972,10,25,1532.00000
1972,10,26,1577.00000
1972,10,27,1535.00000
1972,10,28,1406.00000
1972,10,29,1401.00000
1972,10,30,2095.00000
1972,10,31,4248.00000
1972,11,01,2812.00000
1972,11,02,2278.00000
1972,11,03,1985.00000
1972,11,04,1821.00000
1972,11,05,1733.00000
1972,11,06,1687.00000
1972,11,07,1682.00000
1972,11,08,1670.00000
1972,11,09,1611.00000
1972,11,10,1559.00000
1972,11,11,1507.00000
1972,11,12,1463.00000
1972,11,13,1413.00000
1972,11,14,1368.00000
1972,11,15,1390.00000
1972,11,16,1367.00000
1972,11,17,1308.00000
1972,11,18,1189.00000
1972,11,19,1174.00000
1972,11,20,1151.00000
1972,11,21,1147.00000
1972,11,22,1156.00000
1972,11,23,1185.00000
1972,11,24,1216.00000
1972,11,25,1213.00000
1972,11,26,1201.00000
1972,11,27,1175.00000
1972,11,28,1257.00000
1972,11,29,1614.00000
1972,11,30,1387.00000
1972,12,01,1210.00000
1972,12,02,1118.00000
1972,12,03,1050.00000
1972,12,04,998.00000
1972,12,05,955.00000
1972,12,06,946.00000
1972,12,07,930.00000
1972,12,08,922.00000
1972,12,09,907.00000
1972,12,10,866.00000
1972,12,11,814.00000
1972,12,12,798.00000
1972,12,13,807.00000
1972,12,14,822.00000
1972,12,15,815.00000
1972,12,16,774.00000
1972,12,17,760.00000
1972,12,18,736.00000
1972,12,19,734.00000
1972,12,20,700.00000
1972,12,21,737.00000
1972,12,22,791.00000
1972,12,23,735.00000
1972,12,24,690.00000
1972,12,25,656.00000
1972,12,26,613.00000
1972,12,27,596.00000
1972,12,28,602.00000
1972,12,29,639.00000
1972,12,30,640.00000
1972,12,31,573.00000
1973,01,01,534.00000
1973,01,02,517.00000
1973,01,03,511.00000
1973,01,04,491.00000
1973,01,05,474.00000
1973,01,06,463.00000
1973,01,07,453.00000
1973,01,08,440.00000
1973,01,09,421.00000
1973,01,10,412.00000
1973,01,11,399.00000
1973,01,12,392.00000
1973,01,13,415.00000
1973,01,14,460.00000
1973,01,15,421.00000
1973,01,16,388.00000
1973,01,17,355.00000
1973,01,18,346.00000
1973,01,19,338.00000
1973,01,20,334.00000
1973,01,21,323.00000
1973,01,22,313.00000
1973,01,23,313.00000
1973,01,24,324.00000
1973,01,25,323.00000
1973,01,26,311.00000
1973,01,27,294.00000
1973,01,28,288.00000
1973,01,29,292.00000
1973,01,30,291.00000
1973,01,31,274.00000
1973,02,01,271.00000
1973,02,02,268.00000
1973,02,03,256.00000
1973,02,04,253.00000
1973,02,05,245.00000
1973,02,06,245.00000
1973,02,07,245.00000
1973,02,08,248.00000
1973,02,09,249.00000
1973,02,10,250.00000
1973,02,11,250.00000
1973,02,12,252.00000
1973,02,13,246.00000
1973,02,14,235.00000
1973,02,15,235.00000
1973,02,16,241.00000
1973,02,17,238.00000
1973,02,18,231.00000
1973,02,19,223.00000
1973,02,20,223.00000
1973,02,21,220.00000
1973,02,22,224.00000
1973,02,23,222.00000
1973,02,24,227.00000
1973,02,25,240.00000
1973,02,26,245.00000
1973,02,27,233.00000
1973,02,28,221.00000
1973,03,01,215.00000
1973,03,02,211.00000
1973,03,03,210.00000
1973,03,04,205.00000
1973,03,05,203.00000
1973,03,06,202.00000
1973,03,07,204.00000
1973,03,08,206.00000
1973,03,09,203.00000
1973,03,10,202.00000
1973,03,11,206.00000
1973,03,12,214.00000
1973,03,13,211.00000
1973,03,14,221.00000
1973,03,15,283.00000
1973,03,16,293.00000
1973,03,17,265.00000
1973,03,18,240.00000
1973,03,19,223.00000
1973,03,20,217.00000
1973,03,21,214.00000
1973,03,22,209.00000
1973,03,23,208.00000
1973,03,24,208.00000
1973,03,25,210.00000
1973,03,26,207.00000
